Date,Model Number,Brand,Name,Currency,Store Name,Partner Rating,Positive Rating,price,Sale price,FBN,Links
18-10-2022,BB-8330,BODY SCULPTURE,Yoga Mat 17mm,EGP,noon,4.2,78%,917.00,799.00,noon-express,https://www.noon.com//egypt-en/yoga-mat-17mm/N52252468A/p/?o=ebfef767165326ee
18-10-2022,null,Athlete Home,Exercise Mat,EGP,Athlete Home,3.8,68%,350.00,280.00,noon-express,https://www.noon.com//egypt-en/exercise-mat/ZEBED6D16E0EC765CAF2EZ/p/?o=zebed6d16e0ec765caf2ez-1
18-10-2022,2025515992,Spurt,18D-141 Yoga Roller Pink 30cm,EGP,noon,4.2,78%,293.00,183.00,noon-express,https://www.noon.com//egypt-en/18d-141-yoga-roller-pink-30cm/N46040263A/p/?o=e136e8d59160f04b
18-10-2022,6849,Athlete Home,Power Pull High End Mat,EGP,Athlete Home,3.8,68%,400.00,360.00,noon-express,https://www.noon.com//egypt-en/power-pull-high-end-mat/Z5E8B1D3A8CD1EDC0EF3FZ/p/?o=z5e8b1d3a8cd1edc0ef3fz-1
18-10-2022,6316-71,Athlete Home,Yoga Ball 2021 65cm,EGP,Athlete Home,3.8,68%,159.00,159.00,noon-express,https://www.noon.com//egypt-en/yoga-ball-2021-65cm/N51237367A/p/?o=caadc10a1c81c2cf
18-10-2022,6316-70,Athlete Home,Yoga Ball 2021 55cm,EGP,Athlete Home,3.8,68%,149.00,149.00,noon-express,https://www.noon.com//egypt-en/yoga-ball-2021-55cm/N51237366A/p/?o=f1eac5b35d4d5bab
18-10-2022,31516,Athlete Home,Exercise Mat 5Mm Eva,EGP,Athlete Home,3.8,68%,200.00,200.00,noon-express,https://www.noon.com//egypt-en/exercise-mat-5mm-eva/ZDED9F1F3D74EBD31CD90Z/p/?o=zded9f1f3d74ebd31cd90z-1
18-10-2022,322-60979526-17,UFIT,Yoga Mat With Carrying Strap & Bag- 10 Mm 183 x 61 x 1cm,EGP,Kanteen.store,3.7,59%,319.00,319.00,noon-marketplace,https://www.noon.com//egypt-en/yoga-mat-with-carrying-strap-bag-10-mm-183-x-61-x-1cm/N44711368A/p/?o=ccdc870db72447af
18-10-2022,22800,Athlete Home,Leather Gym Sand Bag 100cm,EGP,Athlete Home,3.8,68%,700.00,560.00,noon-express,https://www.noon.com//egypt-en/leather-gym-sand-bag-100cm/N52997044A/p/?o=b1cadc6eef97ef2f
18-10-2022,18D-141A-2,Spurt,Yoga Roller 30cm,EGP,noon,4.2,78%,332.00,208.00,noon-express,https://www.noon.com//egypt-en/yoga-roller-30cm/N51379862A/p/?o=f62950b0df952a0a
18-10-2022,null,Athlete Home,Exercise Mat,EGP,Athlete Home,3.8,68%,350.00,280.00,noon-express,https://www.noon.com//egypt-en/exercise-mat/Z4CFA9AF7F657C560B1CFZ/p/?o=z4cfa9af7f657c560b1cfz-1
18-10-2022,null,Athlete Home,Exercise Mat,EGP,Athlete Home,3.8,68%,350.00,280.00,noon-express,https://www.noon.com//egypt-en/exercise-mat/ZAC8A4707183C0448FE35Z/p/?o=zac8a4707183c0448fe35z-1
18-10-2022,BB-021-45cm,BODY SCULPTURE,Full Round Foam Roller 15x45centimeter,EGP,noon,4.2,78%,667.00,519.00,noon-express,https://www.noon.com//egypt-en/full-round-foam-roller-15x45centimeter/N35279634A/p/?o=cc049fe0ee46968f
18-10-2022,31505,Athlete Home,Exercise Mat 5Mm Eva,EGP,Athlete Home,3.8,68%,200.00,200.00,noon-express,https://www.noon.com//egypt-en/exercise-mat-5mm-eva/ZFEE22B4CAE429FFBB22DZ/p/?o=zfee22b4cae429ffbb22dz-1
18-10-2022,5984,Athlete Home,Athlete Home Exercise Mat 6 mm Phosphoric PVC,EGP,Athlete Home,3.8,68%,200.00,200.00,noon-express,https://www.noon.com//egypt-en/athlete-home-exercise-mat-6-mm-phosphoric-pvc/Z9ED1A5930C33B31980CFZ/p/?o=z9ed1a5930c33b31980cfz-1
18-10-2022,6316-73,Athlete Home,Yoga Ball 2021 85cm,EGP,Athlete Home,3.8,68%,179.00,179.00,noon-express,https://www.noon.com//egypt-en/yoga-ball-2021-85cm/N51237369A/p/?o=d04894b993140e3f
18-10-2022,31506,Athlete Home,Exercise Mat 5Mm Eva,EGP,Athlete Home,3.8,68%,200.00,200.00,noon-express,https://www.noon.com//egypt-en/exercise-mat-5mm-eva/Z1A602F6AF04BED4E260FZ/p/?o=z1a602f6af04bed4e260fz-1
18-10-2022,MN0047PU,Generic,Anti-Burst Yoga Swiss Ball 25centimeter,EGP,Brenda Box,2.8,43%,59.90 ,59.90 ,noon-express,https://www.noon.com//egypt-en/anti-burst-yoga-swiss-ball-25centimeter/N31126834A/p/?o=b1502ca71a0cf2aa
18-10-2022,6555,Athlete Home,Athlete Home 5mm Mat With Bag,EGP,Athlete Home,3.8,68%,200.00,200.00,noon-express,https://www.noon.com//egypt-en/athlete-home-5mm-mat-with-bag/Z0C624E65219011A8526EZ/p/?o=z0c624e65219011a8526ez-1
18-10-2022,715280699690,BODY SCULPTURE,Yoga Mat 173x61cm,EGP,noon,4.2,78%,529.00,386.00,noon-express,https://www.noon.com//egypt-en/yoga-mat-173x61cm/N52977832A/p/?o=cedc1a81e20f31ee
18-10-2022,1097PR1234,Prickly Pear,Sweat Absorbent Anti Slip Strength Travel Yoga Mat 61 cm,EGP,vogue,2.8,49%,999.00,789.00,noon-marketplace,https://www.noon.com//egypt-en/sweat-absorbent-anti-slip-strength-travel-yoga-mat-61-cm/N35941523A/p/?o=ec4ebccd39000afd
18-10-2022,31512,Athlete Home,Exercise Mat 5Mm Eva,EGP,Athlete Home,3.8,68%,200.00,200.00,noon-express,https://www.noon.com//egypt-en/exercise-mat-5mm-eva/Z259A4C993D699276358CZ/p/?o=z259a4c993d699276358cz-1
18-10-2022,322-21384723-17,UFIT,Yoga Mat With Carrying Strap & Bag- 10 Mm 183x61cm,EGP,Kanteen.store,3.7,59%,319.00,319.00,noon-express,https://www.noon.com//egypt-en/yoga-mat-with-carrying-strap-bag-10-mm-183x61cm/N44711392A/p/?o=cf2ae519fd0d449c
18-10-2022,31513,Athlete Home,Exercise Mat 5Mm Eva,EGP,Athlete Home,3.8,68%,200.00,200.00,noon-express,https://www.noon.com//egypt-en/exercise-mat-5mm-eva/ZBE82189E5CC582A4D612Z/p/?o=zbe82189e5cc582a4d612z-1
